6USY,"('QGS', 'Binding MOAD:\xa0 6USY', 'Ki:&nbsp0.4\xa0(nM) from 1 assay(s)')"
6UVJ,"('QJ1', 'Binding MOAD:\xa0 6UVJ', 'Kd:&nbsp2.00e+4\xa0(nM) from 1 assay(s)')"
6UVM,"('QJA', 'Binding MOAD:\xa0 6UVM', 'Kd:&nbsp5.10e+5\xa0(nM) from 1 assay(s)')"
6UVV,"('QJV', 'Binding MOAD:\xa0 6UVV', 'IC50:&nbsp6640\xa0(nM) from 1 assay(s)')"
6UVY,"('QJP', 'Binding MOAD:\xa0 6UVY', 'IC50:&nbsp990\xa0(nM) from 1 assay(s)')"
6UWP,"('QKA', 'Binding MOAD:\xa0 6UWP', 'IC50:&nbsp28\xa0(nM) from 1 assay(s)')"
6UWU,"('QKP', 'Binding MOAD:\xa0 6UWU', 'IC50:&nbsp70\xa0(nM) from 1 assay(s)')"
6UWV,"('QK7', 'Binding MOAD:\xa0 6UWV', 'IC50:&nbsp10\xa0(nM) from 1 assay(s)')"
6UWX,"('QKD', 'Binding MOAD:\xa0 6UWX', 'Kd:&nbsp2.90e+5\xa0(nM) from 1 assay(s)')"
6UX1,"('SAL', 'Binding MOAD:\xa0 6UX1', 'IC50:&nbsp6.60e+6\xa0(nM) from 1 assay(s)')"
6UYB,"('QSJ', 'Binding MOAD:\xa0 6UYB', 'Kd:&nbsp6200\xa0(nM) from 1 assay(s)')"
6UYC,"('QLV', 'Binding MOAD:\xa0 6UYC', 'Kd:&nbsp229\xa0(nM) from 1 assay(s)')"
6UZU,"('6LU', 'Binding MOAD:\xa0 6UZU', 'Ki:&nbsp7\xa0(nM) from 1 assay(s)')"
6V0Q,"('EAE', 'Binding MOAD:\xa0 6V0Q', 'Kd:&nbsp4200\xa0(nM) from 1 assay(s)')"
6V0S,"('EAE', 'Binding MOAD:\xa0 6V0S', 'Kd:&nbsp1.60e+4\xa0(nM) from 1 assay(s)')"
6V0U,"('BMF', 'Binding MOAD:\xa0 6V0U', 'Kd:&nbsp392\xa0(nM) from 1 assay(s)')"
6V0X,"('B49', 'Binding MOAD:\xa0 6V0X', 'Kd:&nbsp2.77e+5\xa0(nM) from 1 assay(s)')"
6V14,"('QMG', 'BindingDB:\xa0 6V14', 'Kd:&nbspmin: 32, max: 82\xa0(nM) from 3 assay(s)')"
6V16,"('QMG', 'BindingDB:\xa0 6V16', 'Kd:&nbspmin: 316, max: 556\xa0(nM) from 3 assay(s)')"
6V17,"('H1B', 'Binding MOAD:\xa0 6V17', 'Kd:&nbsp148\xa0(nM) from 1 assay(s)')"
6V1B,"('H1B', 'Binding MOAD:\xa0 6V1B', 'Kd:&nbsp37\xa0(nM) from 1 assay(s)')"
6V1E,"('5SW', 'BindingDB:\xa0 6V1E', 'Kd:&nbspmin: 0.3, max: 121\xa0(nM) from 3 assay(s)')"
6V1F,"('5U6', 'Binding MOAD:\xa0 6V1F', 'Kd:&nbsp418\xa0(nM) from 1 assay(s)')"
6V1H,"('BMF', 'Binding MOAD:\xa0 6V1H', 'Kd:&nbsp114\xa0(nM) from 1 assay(s)')"
6V1K,"('5SW', 'BindingDB:\xa0 6V1K', 'Kd:&nbspmin: 1.00e+4, max: 2.00e+4\xa0(nM) from 2 assay(s)')"
6V1L,"('5U6', 'BindingDB:\xa0 6V1L', 'Kd:&nbspmin: 1.00e+4, max: 2.00e+4\xa0(nM) from 2 assay(s)')"
6V6L,"('QQA', 'Binding MOAD:\xa0 6V6L', 'IC50:&nbsp8\xa0(nM) from 1 assay(s)')"
6V6Z,"('Q5Y', 'Binding MOAD:\xa0 6V6Z', 'IC50:&nbsp63\xa0(nM) from 1 assay(s)')"
6V74,"('ASN', 'Binding MOAD:\xa0 6V74', 'Kd:&nbsp2.70e+4\xa0(nM) from 1 assay(s)')"
6V7C,"('QR1', 'Binding MOAD:\xa0 6V7C', 'IC50:&nbsp29\xa0(nM) from 1 assay(s)')"
6V7D,"('QR4', 'Binding MOAD:\xa0 6V7D', 'IC50:&nbsp22\xa0(nM) from 1 assay(s)')"
6V7E,"('QRA', 'Binding MOAD:\xa0 6V7E', 'IC50:&nbsp2\xa0(nM) from 1 assay(s)')"
6V7F,"('QRJ', 'Binding MOAD:\xa0 6V7F', 'IC50:&nbsp14\xa0(nM) from 1 assay(s)')"
6V87,"('OHT', 'BindingDB:\xa0 6V87', 'Ki:&nbspmin: 0.04, max: 5.7\xa0(nM) from 5 assay(s)')"
6V8T,"('C6V', 'BindingDB:\xa0 6V8T', 'IC50:&nbspmin: 0.2, max: 8.9\xa0(nM) from 4 assay(s)')"
6V90,"('QSD', 'Binding MOAD:\xa0 6V90', 'IC50:&nbsp8.8\xa0(nM) from 1 assay(s)')"
6V9C,"('QS7', 'BindingDB:\xa0 6V9C', 'IC50:&nbspmin: 6.5, max: 500\xa0(nM) from 4 assay(s)')"
6VC2,"('QU7', 'Binding MOAD:\xa0 6VC2', 'Ki:&nbsp1200\xa0(nM) from 1 assay(s)')"
6VCJ,"('NPX', 'Binding MOAD:\xa0 6VCJ', 'Ki:&nbsp1.10e+5\xa0(nM) from 1 assay(s)')"
6VEI,"('9UO', 'BindingDB:\xa0 6VEI', 'IC50:&nbspmin: 0.04, max: 50\xa0(nM) from 4 assay(s)')"
6VFZ,"('9UO', 'BindingDB:\xa0 6VFZ', 'IC50:&nbspmin: 7, max: 130\xa0(nM) from 4 assay(s)')"
6VG0,"('QWM', 'BindingDB:\xa0 6VG0', 'IC50:&nbspmin: 2, max: 50\xa0(nM) from 4 assay(s)')"
6VGH,"('C3D', 'BindingDB:\xa0 6VGH', 'IC50:&nbspmin: 0.5, max: 11\xa0(nM) from 5 assay(s)')"
6VHG,"('QX1', 'Binding MOAD:\xa0 6VHG', 'IC50:&nbsp5500\xa0(nM) from 1 assay(s)')"
6VI4,"('JDC', 'BindingDB:\xa0 6VI4', 'Ki:&nbspmin: 1.00e-2, max: 0.41\xa0(nM) from 7 assay(s)')"
6VIF,"('QY4', 'Binding MOAD:\xa0 6VIF', 'Ki:&nbsp38\xa0(nM) from 1 assay(s)')"
6VIW,"('QYV', 'Binding MOAD:\xa0 6VIW', 'Ki:&nbsp21.6\xa0(nM) from 1 assay(s)')"
6VIX,"('QYV', 'Binding MOAD:\xa0 6VIX', 'Ki:&nbsp1.3\xa0(nM) from 1 assay(s)')"
6VIY,"('QYY', 'Binding MOAD:\xa0 6VIY', 'Ki:&nbsp1.1\xa0(nM) from 1 assay(s)')"
6VIZ,"('QYY', 'Binding MOAD:\xa0 6VIZ', 'Ki:&nbsp120\xa0(nM) from 1 assay(s)')"
6VJ3,"('QYA', 'BindingDB:\xa0 6VJ3', 'Ki:&nbsp18\xa0(nM) from 1 assay(s)')"
6VJD,"('C3D', 'BindingDB:\xa0 6VJD', 'IC50:&nbspmin: 0.5, max: 11\xa0(nM) from 5 assay(s)')"
6VKG,"('SO4', 'BindingDB:\xa0 6VKG', 'Ki:&nbspmin: 8.90e+7, max: 3.00e+8\xa0(nM) from 4 assay(s)')"
6VLU,"('R2Y', 'Binding MOAD:\xa0 6VLU', 'Ki:&nbsp149.1\xa0(nM) from 1 assay(s)')"
6VLV,"('R3A', 'Binding MOAD:\xa0 6VLV', 'Ki:&nbsp5.33\xa0(nM) from 1 assay(s)')"
6VND,"('R4P', 'Binding MOAD:\xa0 6VND', 'IC50:&nbsp17\xa0(nM) from 1 assay(s)')"
6VNS,"('R5D', 'Binding MOAD:\xa0 6VNS', 'IC50:&nbsp29\xa0(nM) from 1 assay(s)')"
6VNV,"('R4Y', 'Binding MOAD:\xa0 6VNV', 'IC50:&nbsp67\xa0(nM) from 1 assay(s)')"
